project,dataset,source,task,algorithm,feature_variant,optimization,primary_metric,primary_value,rank_score,secondary_metric,secondary_value,tertiary_metric,tertiary_value,fit_seconds,notes
sensor_fusion_architectures,UCI HAR Dataset,synthetic_har_fallback,multiclass_classification,fusion_mlp,flattened_accel_gyro,adam_feature_fusion,balanced_accuracy,1.0,1.0,macro_f1,1.0,model_kb,418.2734375,1.383332123994478,latency_ms=2.49
sensor_fusion_architectures,UCI HAR Dataset,synthetic_har_fallback,multiclass_classification,cnn_accelerometer_only,accelerometer_streams,adam_conv_baseline,balanced_accuracy,0.8440278779139629,0.8440278779139629,macro_f1,0.8065712065712066,model_kb,43.5234375,3.1561637809936656,latency_ms=11.30
sensor_fusion_architectures,UCI HAR Dataset,synthetic_har_fallback,multiclass_classification,depthwise_cnn_fusion,all_inertial_streams,adamw_depthwise,balanced_accuracy,0.1751054852320675,0.1751054852320675,macro_f1,0.06459554693871271,model_kb,7.0078125,3.864841261995025,latency_ms=8.84
sensor_fusion_architectures,UCI HAR Dataset,synthetic_har_fallback,multiclass_classification,dual_branch_sensor_fusion,accelerometer_plus_gyroscope,adam_multibranch,balanced_accuracy,0.5023809523809524,0.5023809523809524,macro_f1,0.35920577869824705,model_kb,15.7734375,2.838577257003635,latency_ms=5.24
hardware_aware_nas,NAS-Bench-201-inspired HAR Search,synthetic_har_fallback,hardware_aware_architecture_search,mlp_small,flattened_windows,search_candidate_2_layers,nas_score,0.9373386565764434,0.9373386565764434,balanced_accuracy,1.0,latency_ms,4.126175699639134,1.2427880309987813,model_kb=307.71
hardware_aware_nas,NAS-Bench-201-inspired HAR Search,synthetic_har_fallback,hardware_aware_architecture_search,cnn_tiny,raw_inertial_windows,search_candidate_conv,nas_score,0.6230613772427352,0.6230613772427352,balanced_accuracy,0.6666666666666666,latency_ms,10.115287199732848,3.436681139995926,model_kb=20.96
hardware_aware_nas,NAS-Bench-201-inspired HAR Search,synthetic_har_fallback,hardware_aware_architecture_search,cnn_wide,raw_inertial_windows,search_candidate_wider_conv,nas_score,0.9671354881759501,0.9671354881759501,balanced_accuracy,1.0,latency_ms,5.294936549762497,3.6934632509946823,model_kb=77.90
hardware_aware_nas,NAS-Bench-201-inspired HAR Search,synthetic_har_fallback,hardware_aware_architecture_search,depthwise_mobile_style,raw_inertial_windows,search_candidate_depthwise,nas_score,0.09802770491646758,0.09802770491646758,balanced_accuracy,0.16666666666666666,latency_ms,16.99274825004977,3.9806953050137963,model_kb=4.45
quantization_time_series,EEG Eye State-inspired Sequence Benchmark,synthetic_eeg_fallback,binary_classification,mlp_fp32,pooled_temporal_features,adam_fp32,balanced_accuracy,1.0,1.0,model_kb,17.6328125,latency_ms,0.15930800000205636,0.9820084739913,average_precision=1.000
quantization_time_series,EEG Eye State-inspired Sequence Benchmark,synthetic_eeg_fallback,binary_classification,mlp_int8_fake_q,pooled_temporal_features,adam_fake_q_8bit,balanced_accuracy,1.0,1.0,model_kb,4.408203125,latency_ms,0.2746792495599948,1.1177855569985695,average_precision=1.000
quantization_time_series,EEG Eye State-inspired Sequence Benchmark,synthetic_eeg_fallback,binary_classification,cnn_int8_fake_q,raw_eeg_windows,adam_fake_q_8bit,balanced_accuracy,0.9305555555555556,0.9305555555555556,model_kb,5.943359375,latency_ms,24.4050071501988,2.3563278749934398,average_precision=0.987
quantization_time_series,EEG Eye State-inspired Sequence Benchmark,synthetic_eeg_fallback,binary_classification,cnn_int4_fake_q,raw_eeg_windows,adam_fake_q_4bit,balanced_accuracy,0.9356303418803419,0.9356303418803419,model_kb,2.9716796875,latency_ms,7.822031899559079,2.7324684010091005,average_precision=0.984
deterministic_bnn,Fashion-MNIST / digits fallback,sklearn_digits_fallback,multiclass_classification,mlp_fp32,flattened_pixels,adam_dense,accuracy,0.8377777777777777,0.8377777777777777,balanced_accuracy,0.8372746678105628,model_kb,67.2890625,1.2772014500078512,latency_ms=1.15
deterministic_bnn,Fashion-MNIST / digits fallback,sklearn_digits_fallback,multiclass_classification,sign_mlp,flattened_pixels,adam_sign_ste,accuracy,0.9066666666666666,0.9066666666666666,balanced_accuracy,0.9057511924094331,model_kb,102.0390625,1.2526424800016684,latency_ms=1.17
deterministic_bnn,Fashion-MNIST / digits fallback,sklearn_digits_fallback,multiclass_classification,sign_mlp_int8,flattened_pixels,adam_sign_plus_8bit,accuracy,0.92,0.92,balanced_accuracy,0.9191417716089102,model_kb,25.509765625,1.0102479170018341,latency_ms=0.51
deterministic_bnn,Fashion-MNIST / digits fallback,sklearn_digits_fallback,multiclass_classification,tiny_cnn_reference,image_tensor,adam_conv_reference,accuracy,0.15555555555555556,0.15555555555555556,balanced_accuracy,0.15555555555555556,model_kb,11.6640625,1.1445133329980308,latency_ms=2.17
continuous_edge_learning,Gas Sensor Drift-inspired Stream,synthetic_gas_drift_fallback,streaming_multiclass_classification,frozen_mlp,raw_sensor_features,single_bootstrap_fit,post_drift_accuracy,0.2511111111111111,0.2511111111111111,balanced_accuracy,0.23272200788884345,,,0.0,evaluated_on_segment=3
continuous_edge_learning,Gas Sensor Drift-inspired Stream,synthetic_gas_drift_fallback,streaming_multiclass_classification,rolling_retrain_mlp,raw_sensor_features,cumulative_retraining,post_drift_accuracy,0.2288888888888889,0.2288888888888889,balanced_accuracy,0.22087434552060142,,,0.0,evaluated_on_segment=3
continuous_edge_learning,Gas Sensor Drift-inspired Stream,synthetic_gas_drift_fallback,streaming_multiclass_classification,replay_buffer_mlp,raw_sensor_features,stream_updates_with_replay,post_drift_accuracy,0.26222222222222225,0.26222222222222225,balanced_accuracy,0.24564105699509065,,,0.0,evaluated_on_segment=3
tinyml_micro_speech,Speech Commands-inspired Spectrogram Benchmark,synthetic_speech_commands_fallback,multiclass_classification,micro_cnn,raw_spectrogram,adam_tiny_conv,balanced_accuracy,0.1,0.1,model_kb,11.6640625,latency_ms,3.186394050135277,2.0486625420016935,accuracy=0.107
tinyml_micro_speech,Speech Commands-inspired Spectrogram Benchmark,synthetic_speech_commands_fallback,multiclass_classification,depthwise_micro_cnn,raw_spectrogram,adam_mobile_style,balanced_accuracy,0.1,0.1,model_kb,2.1875,latency_ms,8.790502000192646,2.5340379380068043,accuracy=0.102
tinyml_micro_speech,Speech Commands-inspired Spectrogram Benchmark,synthetic_speech_commands_fallback,multiclass_classification,micro_mlp,flattened_mfcc_like,adam_dense_tiny,balanced_accuracy,1.0,1.0,model_kb,170.4765625,latency_ms,0.8239328497438692,0.9085038950142916,accuracy=1.000
tinyml_micro_speech,Speech Commands-inspired Spectrogram Benchmark,synthetic_speech_commands_fallback,multiclass_classification,micro_cnn_int8,raw_spectrogram,adam_fake_q_8bit,balanced_accuracy,0.3,0.3,model_kb,2.916015625,latency_ms,5.860817600478185,2.1282655039976817,accuracy=0.320
liquid_financial_signals,Stock Market / synthetic volatile fallback,synthetic_stock_fallback,next_return_regression,mlp_regressor,flattened_price_windows,adam_dense,rmse,0.02749134255440373,-0.02749134255440373,r2,-1.7868943214416504,latency_ms,1.229737250105245,0.7369129899889231,mae=0.02149
liquid_financial_signals,Stock Market / synthetic volatile fallback,synthetic_stock_fallback,next_return_regression,gru_regressor,temporal_returns_windows,adam_gru,rmse,0.01793436013162714,-0.01793436013162714,r2,-0.1860429048538208,latency_ms,10.380848949716892,3.9636808350041974,mae=0.01485
liquid_financial_signals,Stock Market / synthetic volatile fallback,synthetic_stock_fallback,next_return_regression,liquid_regressor,temporal_returns_windows,adam_liquid_cell,rmse,0.03227439675409574,-0.03227439675409574,r2,-2.8410050868988037,latency_ms,2.918077100184746,4.220849268996972,mae=0.02625
liquid_financial_signals,Stock Market / synthetic volatile fallback,synthetic_stock_fallback,next_return_regression,liquid_regressor_adamw,temporal_returns_windows,adamw_liquid_cell,rmse,0.022315145623711733,-0.022315145623711733,r2,-0.8362342119216919,latency_ms,4.539009949803585,4.919798540999182,mae=0.01782
biosignal_diagnostics,ECG Heartbeat Categorization-inspired Benchmark,synthetic_ecg_fallback,multiclass_classification,conv1d_ecg,raw_heartbeat,adam_conv,balanced_accuracy,0.5891891891891892,0.5891891891891892,macro_f1,0.47062407858121136,latency_ms,7.350962849886855,2.528753999999026,model_kb=24.21
