project,dataset,source,task,algorithm,feature_variant,optimization,primary_metric,primary_value,rank_score,secondary_metric,secondary_value,tertiary_metric,tertiary_value,fit_seconds,notes
causal_discovery,Metro Interstate Traffic Volume,uci,time_series_regression,linear_regression,temporal_only,lag_features_plus_model_choice,rmse,786.8268833364837,-786.8268833364837,r2,0.8420815664688031,mae,522.3636277975212,0.00672753099934198,Weather features withheld
causal_discovery,Metro Interstate Traffic Volume,uci,time_series_regression,random_forest,temporal_only,lag_features_plus_model_choice,rmse,450.98572693322717,-450.98572693322717,r2,0.9481199910835129,mae,241.6804209919262,0.20819299000140745,Weather features withheld
causal_discovery,Metro Interstate Traffic Volume,uci,time_series_regression,hist_gradient_boosting,temporal_only,lag_features_plus_model_choice,rmse,426.2988612218246,-426.2988612218246,r2,0.953644337472428,mae,246.99629715977537,0.9249132750119315,Weather features withheld
causal_discovery,Metro Interstate Traffic Volume,uci,time_series_regression,linear_regression,temporal_plus_weather,lag_features_plus_model_choice,rmse,786.241381516781,-786.241381516781,r2,0.8423165028453703,mae,521.6435839894929,0.005869549000635743,Weather features included
causal_discovery,Metro Interstate Traffic Volume,uci,time_series_regression,random_forest,temporal_plus_weather,lag_features_plus_model_choice,rmse,454.7739400155477,-454.7739400155477,r2,0.9472447618302676,mae,244.8694204152249,0.3102985029981937,Weather features included
causal_discovery,Metro Interstate Traffic Volume,uci,time_series_regression,hist_gradient_boosting,temporal_plus_weather,lag_features_plus_model_choice,rmse,429.7263490870168,-429.7263490870168,r2,0.9528959320449243,mae,248.59492523342593,0.4734537369949976,Weather features included
conformal_supply_chain,Store Item Demand Forecasting,synthetic_fallback,time_series_interval_regression,seasonal_naive_conformal,lag_7_only,calibration_quantile,coverage,0.906517094017094,0.7665313733276125,avg_width,33.56552650721014,rmse,10.069020342623643,0.0,Baseline interval from lag-7 residual quantile
conformal_supply_chain,Store Item Demand Forecasting,synthetic_fallback,time_series_interval_regression,seasonal_mean_conformal,rolling_mean_7,calibration_quantile,coverage,0.9020655270655271,0.7946045607788196,avg_width,25.76679888935218,rmse,8.089229818651901,0.0,Baseline interval from rolling mean residual quantile
conformal_supply_chain,Store Item Demand Forecasting,synthetic_fallback,time_series_interval_regression,random_forest_split_conformal,lags_plus_calendar,split_conformal,coverage,0.9122150997150997,0.8172131644092114,avg_width,22.779394655684055,rmse,7.101974682358023,2.439714049003669,Point forest with symmetric residual conformalization
conformal_supply_chain,Store Item Demand Forecasting,synthetic_fallback,time_series_interval_regression,gradient_boosting_split_conformal,lags_plus_calendar,split_conformal,coverage,0.9017094017094017,0.8166207231462178,avg_width,20.40241162962155,rmse,6.718378254917872,8.993751494999742,Boosted regressor with symmetric residual conformalization
conformal_supply_chain,Store Item Demand Forecasting,synthetic_fallback,time_series_interval_regression,gradient_boosting_quantile,lags_plus_calendar,direct_quantile_training,coverage,0.7993233618233618,0.7330820228987038,avg_width,15.883230136598954,rmse,6.725718216928763,17.47922908500186,Separate quantile regressors for lower and upper bounds
ebm_credit,Give Me Some Credit / Credit-G,openml_credit_g,binary_classification,logistic_regression,one_hot_tabular,baseline_hyperparameters,roc_auc,0.8086904761904762,0.8086904761904762,average_precision,0.6347809515050978,brier,0.1820937428726974,11.603812622997793,High-capacity black-box baseline
ebm_credit,Give Me Some Credit / Credit-G,openml_credit_g,binary_classification,logistic_elastic_net,one_hot_tabular,baseline_hyperparameters,roc_auc,0.6984523809523809,0.6984523809523809,average_precision,0.487211912123208,brier,0.2359164928904492,6.44893196799967,High-capacity black-box baseline
ebm_credit,Give Me Some Credit / Credit-G,openml_credit_g,binary_classification,random_forest,one_hot_tabular,baseline_hyperparameters,roc_auc,0.8057142857142856,0.8057142857142856,average_precision,0.6380080412232305,brier,0.1607677777777778,1.76814247299626,High-capacity black-box baseline
ebm_credit,Give Me Some Credit / Credit-G,openml_credit_g,binary_classification,hist_gradient_boosting,one_hot_tabular,baseline_hyperparameters,roc_auc,0.7740476190476191,0.7740476190476191,average_precision,0.6186063891871114,brier,0.17375450627036698,37.103809884996735,High-capacity black-box baseline
ebm_credit,Give Me Some Credit / Credit-G,openml_credit_g,binary_classification,ebm_default,native_mixed_types,interpretable_boosting,roc_auc,0.8004761904761905,0.8004761904761905,average_precision,0.6234444368110383,brier,0.15771429313773572,11.662611717008986,"Top terms: checking_status=0.575, duration=0.357, savings_status=0.327"
ebm_credit,Give Me Some Credit / Credit-G,openml_credit_g,binary_classification,ebm_interactions,native_mixed_types,interpretable_boosting,roc_auc,0.8166666666666667,0.8166666666666667,average_precision,0.6868862020934783,brier,0.14833349069766996,3.1700615449954057,"Top terms: checking_status=0.564, duration=0.345, savings_status=0.323"
ebm_credit,Give Me Some Credit / Credit-G,openml_credit_g,binary_classification,ebm_interactions_dense,native_mixed_types,interpretable_boosting,roc_auc,0.8170238095238095,0.8170238095238095,average_precision,0.682220624786324,brier,0.1497258902672188,4.404032449994702,"Top terms: checking_status=0.568, duration=0.329, savings_status=0.294"
concept_drift,Electricity Market Dataset,openml,streaming_classification,static_sgd,raw_stream,no_online_updates,post_drift_accuracy,0.7462222222222222,0.7462222222222222,overall_accuracy,0.745,balanced_accuracy,0.7139299446991755,0.038647137000225484,Frozen after initial fit
concept_drift,Electricity Market Dataset,openml,streaming_classification,adaptive_sgd,raw_stream,partial_fit_updates,post_drift_accuracy,0.5894160583941606,0.5894160583941606,overall_accuracy,0.5819444444444445,balanced_accuracy,0.5819444444444445,6.008005584590137e-06,Chunked online updates with logistic loss
concept_drift,Electricity Market Dataset,openml,streaming_classification,rolling_window_sgd,recent_history_window,chunk_retrain_recent_window,post_drift_accuracy,0.6334397810218978,0.6334397810218978,overall_accuracy,0.6380555555555556,balanced_accuracy,0.6380555555555556,2.0809966372326016e-06,Retrains on a sliding recent-history window after each chunk
concept_drift,Electricity Market Dataset,openml,streaming_classification,hoeffding_tree,raw_stream,river_incremental_tree,post_drift_accuracy,0.7544444444444445,0.7544444444444445,overall_accuracy,0.7541666666666667,balanced_accuracy,0.7541666666666667,2.286993549205363e-06,Sample-wise adaptive decision tree
federated_low_bandwidth,Adult Census Income,openml,federated_binary_classification,centralized_logistic_regression,full_one_hot,server_only_baseline,accuracy,0.8425,0.8425,balanced_accuracy,0.7531532528593945,bandwidth_mb,0.0,0.8108219109999482,Upper-bound centralized baseline
federated_low_bandwidth,Adult Census Income,openml,federated_binary_classification,federated_full,128_simulated_nodes,fedavg_full_precision,accuracy,0.8258333333333333,0.8243465169270833,balanced_accuracy,0.7732577443126958,bandwidth_mb,0.148681640625,0.06561300699831918,"14 rounds, 24 clients per round, ratio=1.00, error_feedback=False"
federated_low_bandwidth,Adult Census Income,openml,federated_binary_classification,federated_topk,128_simulated_nodes,fedavg_topk_10pct,accuracy,0.8266666666666667,0.8263462320963542,balanced_accuracy,0.7493178288065152,bandwidth_mb,0.03204345703125,0.0798705780034652,"14 rounds, 24 clients per round, ratio=0.10, error_feedback=False"
federated_low_bandwidth,Adult Census Income,openml,federated_binary_classification,federated_topk,128_simulated_nodes,fedavg_topk_5pct,accuracy,0.8320833333333333,0.8319167073567708,balanced_accuracy,0.7277927039167121,bandwidth_mb,0.01666259765625,0.08723595300398301,"14 rounds, 24 clients per round, ratio=0.05, error_feedback=False"
federated_low_bandwidth,Adult Census Income,openml,federated_binary_classification,federated_topk,128_simulated_nodes,fedavg_topk_10pct_error_feedback,accuracy,0.8258333333333333,0.8255128987630208,balanced_accuracy,0.7696741988543341,bandwidth_mb,0.03204345703125,0.08309142100915778,"14 rounds, 24 clients per round, ratio=0.10, error_feedback=True"
federated_low_bandwidth,Adult Census Income,openml,federated_binary_classification,federated_sign,128_simulated_nodes,fedavg_sign_quantized,accuracy,0.8020833333333334,0.8020116360982259,balanced_accuracy,0.7230089187920513,bandwidth_mb,0.0071697235107421875,0.08428825000009965,"14 rounds, 24 clients per round, ratio=0.10, error_feedback=False"
federated_low_bandwidth,Adult Census Income,openml,federated_binary_classification,federated_sign,128_simulated_nodes,fedavg_sign_error_feedback,accuracy,0.81875,0.8186783027648925,balanced_accuracy,0.7692000183184433,bandwidth_mb,0.0071697235107421875,0.08636598399607465,"14 rounds, 24 clients per round, ratio=0.10, error_feedback=True"
tabular_meta_learning,OpenML-style Small Classification Suite,sklearn,meta_learning_benchmark,logistic_regression,iris,holdout_balanced_accuracy,balanced_accuracy,0.9487179487179488,0.9487179487179488,dataset_size,150.0,feature_count,4.0,0.3998545130016282,Per-dataset score on iris
tabular_meta_learning,OpenML-style Small Classification Suite,sklearn,meta_learning_benchmark,random_forest,iris,holdout_balanced_accuracy,balanced_accuracy,0.8974358974358975,0.8974358974358975,dataset_size,150.0,feature_count,4.0,0.6232454190030694,Per-dataset score on iris
tabular_meta_learning,OpenML-style Small Classification Suite,sklearn,meta_learning_benchmark,hist_gradient_boosting,iris,holdout_balanced_accuracy,balanced_accuracy,0.923076923076923,0.923076923076923,dataset_size,150.0,feature_count,4.0,7.439738317989395,Per-dataset score on iris
tabular_meta_learning,OpenML-style Small Classification Suite,sklearn,meta_learning_benchmark,knn,iris,holdout_balanced_accuracy,balanced_accuracy,0.9743589743589745,0.9743589743589745,dataset_size,150.0,feature_count,4.0,0.009161926005617715,Per-dataset score on iris
tabular_meta_learning,OpenML-style Small Classification Suite,sklearn,meta_learning_benchmark,logistic_regression,wine,holdout_balanced_accuracy,balanced_accuracy,0.9722222222222222,0.9722222222222222,dataset_size,178.0,feature_count,13.0,0.6620727770059602,Per-dataset score on wine
