project,dataset,source,task,algorithm,feature_variant,optimization,primary_metric,primary_value,rank_score,secondary_metric,secondary_value,tertiary_metric,tertiary_value,fit_seconds,notes
speech_to_text,Free Spoken Digit Dataset,free_spoken_digit_dataset,single_word_asr,gmm_mfcc,mfcc_plus_deltas,per_class_gaussian_mixture,accuracy,1.0,1.0,balanced_accuracy,1.0,macro_f1,1.0,0.49857356100005745,375 train / 125 test utterances
speech_to_text,Free Spoken Digit Dataset,free_spoken_digit_dataset,single_word_asr,logistic_mfcc_stats,mfcc_statistics,multinomial_logistic_regression,accuracy,0.984,0.984,balanced_accuracy,0.9846153846153847,macro_f1,0.9842962962962962,0.010439493000035327,375 train / 125 test utterances
speech_to_text,Free Spoken Digit Dataset,free_spoken_digit_dataset,single_word_asr,mlp_logmel,flattened_log_mel,early_stopped_mlp,accuracy,0.928,0.928,balanced_accuracy,0.9282051282051282,macro_f1,0.929341675316188,0.2030065310000282,375 train / 125 test utterances
image_to_text,sklearn digits,sklearn_digits,ocr_digit_reading,template_knn,raw_pixels,nearest_neighbor_template_matching,accuracy,0.9666666666666667,0.9666666666666667,balanced_accuracy,0.9663431075160094,macro_f1,0.96624662949387,0.001799024000092686,1347 train / 450 test images
image_to_text,sklearn digits,sklearn_digits,ocr_digit_reading,hog_linear_svm,hog_descriptors,linear_margin_classifier,accuracy,0.8,0.8,balanced_accuracy,0.7994418400384022,macro_f1,0.7994095540566837,0.10473191599999154,1347 train / 450 test images
image_to_text,sklearn digits,sklearn_digits,ocr_digit_reading,mlp_pixels,raw_pixels,two_layer_mlp,accuracy,0.9577777777777777,0.9577777777777777,balanced_accuracy,0.9573441186383553,macro_f1,0.9575034056271982,0.16839008700003433,1347 train / 450 test images
text_to_image,sklearn digits,sklearn_digits,conditional_image_generation,class_mean,label_to_mean_image,statistical_prototype,prompt_accuracy,1.0,1.0197752818465233,diversity,0.09887640923261642,centroid_mse,0.0,0.0,Deterministic prototype image per label
text_to_image,sklearn digits,sklearn_digits,conditional_image_generation,conditional_gan,noise_plus_label,adversarial_training,prompt_accuracy,0.15,0.16340675055980683,diversity,0.16139844059944153,centroid_mse,0.37745875120162964,9.105203950000032,120 conditional samples evaluated
text_to_image,sklearn digits,sklearn_digits,conditional_image_generation,diffusion_mlp,noise_schedule_conditioning,ddpm_style_denoising,prompt_accuracy,0.13333333333333333,0.11395550866921743,diversity,0.11001046001911163,centroid_mse,0.8275983333587646,2.0688665019999917,120 conditional samples evaluated
text_to_image,sklearn digits,sklearn_digits,conditional_image_generation,flow_matching_mlp,noise_path_conditioning,ode_flow_matching,prompt_accuracy,0.23333333333333334,0.24730008890231453,diversity,0.10967497527599335,centroid_mse,0.15936478972434998,3.7828818719999617,120 conditional samples evaluated
text_to_speech,Free Spoken Digit Dataset,free_spoken_digit_dataset,conditional_speech_generation,unit_selection,waveform_exemplars,representative_training_utterance,asr_accuracy,1.0,0.9996129281446338,mel_distance,0.0193535927683115,avg_duration_sec,0.43717499999999987,0.0,Concatenative-style exemplar reuse
text_to_speech,Free Spoken Digit Dataset,free_spoken_digit_dataset,conditional_speech_generation,mean_spectrogram,class_average_logmel,griffin_lim_inversion,asr_accuracy,1.0,1.0,mel_distance,0.0,avg_duration_sec,0.6239999999999999,0.0,Statistical parametric-style average spectrum
text_to_speech,Free Spoken Digit Dataset,free_spoken_digit_dataset,conditional_speech_generation,conditional_vae,label_plus_latent_logmel,vae_decoder_plus_griffin_lim,asr_accuracy,0.1,0.09957710191607476,mel_distance,0.02114490419626236,avg_duration_sec,0.6239999999999999,2.8492660009999327,30 generated utterances evaluated
